城市ID,行政归属,城市简称,拼音
YB06U51BTYU8,吉林省/白城市/大安市,吉林/白城/大安,Daan
WZS5FZSMRDT6,吉林省/延边朝鲜族自治州,吉林/吉林/延边,Yanbian
WZS5FY540EQG,吉林省/延边朝鲜族自治州/延吉市,吉林/延边/延吉,Yanji
WZSK6Q7Q6K8D,吉林省/延边朝鲜族自治州/图们市,吉林/延边/图们,Tumen
WZENTZQ0X9FP,吉林省/延边朝鲜族自治州/敦化市,吉林/延边/敦化,Dunhua
WZSEYSHXC5JZ,吉林省/延边朝鲜族自治州/珲春市,吉林/延边/珲春,Hunchun
WZS5340C29F7,吉林省/延边朝鲜族自治州/龙井市,吉林/延边/龙井,Longjing
WZE9ZQQGJYES,吉林省/延边朝鲜族自治州/和龙市,吉林/延边/和龙,Helong
WZSQ2W1J61K3,吉林省/延边朝鲜族自治州/汪清县,吉林/延边/汪清,Wangqing
WZETM1Y05WW7,吉林省/延边朝鲜族自治州/安图县,吉林/延边/安图,Antu
YB1UX38K6DY1,黑龙江省/哈尔滨市,黑龙江/哈尔滨/哈尔滨,Haerbin
YB4H315RDCJ7,黑龙江省/哈尔滨市/道里区,黑龙江/哈尔滨/道里,Daoli
YB4H63BZXBM3,黑龙江省/哈尔滨市/南岗区,黑龙江/哈尔滨/南岗,Nangang
YB4H3ZFGN2W9,黑龙江省/哈尔滨市/道外区,黑龙江/哈尔滨/道外,Daowai
YB453MUK1XKZ,黑龙江省/哈尔滨市/平房区,黑龙江/哈尔滨/平房,Pingfang
YB1UW9V2RYRM,黑龙江省/哈尔滨市/松北区,黑龙江/哈尔滨/松北,Songbei
YB4H40KX05JS,黑龙江省/哈尔滨市/香坊区,黑龙江/哈尔滨/香坊,Xiangfang
YB4J07UDZU0V,黑龙江省/哈尔滨市/呼兰区,黑龙江/哈尔滨/呼兰,Hulan
YB46BYDJJRHB,黑龙江省/哈尔滨市/阿城区,黑龙江/哈尔滨/阿城,Acheng
YB1F47R7MKFZ,黑龙江省/哈尔滨市/双城区,黑龙江/哈尔滨/双城,Shuangcheng
YBHPEBR3TCC6,黑龙江省/哈尔滨市/依兰县,黑龙江/哈尔滨/依兰,Yilan
YB5SEX55HE4W,黑龙江省/哈尔滨市/方正县,黑龙江/哈尔滨/方正,Fangzheng
YB4SKBS1561S,黑龙江省/哈尔滨市/宾县,黑龙江/哈尔滨/宾县,Binxian
YB4W5H9G7NT6,黑龙江省/哈尔滨市/巴彦县,黑龙江/哈尔滨/巴彦,Bayan
YB5J3KUW5HZ6,黑龙江省/哈尔滨市/木兰县,黑龙江/哈尔滨/木兰,Mulan
YB5T9B8FSMN5,黑龙江省/哈尔滨市/通河县,黑龙江/哈尔滨/通河,Tonghe
YB5681ZJ3WPD,黑龙江省/哈尔滨市/延寿县,黑龙江/哈尔滨/延寿,Yanshou
YB4CR843E4FZ,黑龙江省/哈尔滨市/尚志市,黑龙江/哈尔滨/尚志,Shangzhi
WZFRT37VCWZV,黑龙江省/哈尔滨市/五常市,黑龙江/哈尔滨/五常,Wuchang
YB2JK81THR6Z,黑龙江省/齐齐哈尔市,黑龙江/齐齐哈尔/齐齐哈尔,Qiqihaer
YB2JHT6R1S07,黑龙江省/齐齐哈尔市/龙沙区,黑龙江/齐齐哈尔/龙沙,Longsha
YB2JKS0YCQ6G,黑龙江省/齐齐哈尔市/建华区,黑龙江/齐齐哈尔/建华,Jianhua
YB2JM19MGX06,黑龙江省/齐齐哈尔市/铁锋区,黑龙江/齐齐哈尔/铁锋,Tiefeng
YB2H1RZYG2NG,黑龙江省/齐齐哈尔市/昂昂溪区,黑龙江/齐齐哈尔/昂昂溪,Angangxi
Y8RUT1EPZEJ9,黑龙江省/齐齐哈尔市/富拉尔基区,黑龙江/齐齐哈尔/富拉尔基,Fulaerji
Y8RQK1Z9YNGK,黑龙江省/齐齐哈尔市/碾子山区,黑龙江/齐齐哈尔/碾子山,Nianzishan
Y8RVPUJ1HQZZ,黑龙江省/齐齐哈尔市/梅里斯达斡尔族区,黑龙江/齐齐哈尔/梅里斯,Meilisi
Y8RT700VNP3P,黑龙江省/齐齐哈尔市/龙江县,黑龙江/齐齐哈尔/龙江,Longjiang
YB907K29JWGV,黑龙江省/齐齐哈尔市/依安县,黑龙江/齐齐哈尔/依安,Yian
Y8PZBQZEW6YJ,黑龙江省/齐齐哈尔市/泰来县,黑龙江/齐齐哈尔/泰来,Tailai
WQ1PJ9PBXYZY,黑龙江省/齐齐哈尔市/甘南县,黑龙江/齐齐哈尔/甘南,Gannan
YB8803K79NNG,黑龙江省/齐齐哈尔市/富裕县,黑龙江/齐齐哈尔/富裕,Fuyu
YB990PXEP8FW,黑龙江省/齐齐哈尔市/克山县,黑龙江/齐齐哈尔/克山,Keshan
YB9C0ZS7N0ZN,黑龙江省/齐齐哈尔市/克东县,黑龙江/齐齐哈尔/克东,Kedong
YB3WV12DHGJU,黑龙江省/齐齐哈尔市/拜泉县,黑龙江/齐齐哈尔/拜泉,Baiquan
YB8GC3X83ZH8,黑龙江省/齐齐哈尔市/讷河市,黑龙江/齐齐哈尔/讷河,Nehe
YBJ1SQ97WHN1,黑龙江省/鸡西市,黑龙江/鸡西/鸡西,Jixi
YBJ1SQGYT1DK,黑龙江省/鸡西市/鸡冠区,黑龙江/鸡西/鸡冠,Jiguan
YBJ14TUZ328F,黑龙江省/鸡西市/恒山区,黑龙江/鸡西/恒山,Hengshan
YBJ1CR053BCD,黑龙江省/鸡西市/滴道区,黑龙江/鸡西/滴道,Didao
YBHBTBM79KJ9,黑龙江省/鸡西市/梨树区,黑龙江/鸡西/梨树,Lishu
YBJ1VHCVWHQH,黑龙江省/鸡西市/城子河区,黑龙江/鸡西/城子河,Chengzihe
YBHC0YJYHJ40,黑龙江省/鸡西市/麻山区,黑龙江/鸡西/麻山,Mashan
YBJ1RVTBQ7QU,黑龙江省/鸡西市/鸡东县,黑龙江/鸡西/鸡东,Jidong
YBNS6H1JDD6U,黑龙江省/鸡西市/虎林市,黑龙江/鸡西/虎林,Hulin
YBJG0U0GCXQV,黑龙江省/鸡西市/密山市,黑龙江/鸡西/密山,Mishan
YBKTK25TPP2R,黑龙江省/鹤岗市,黑龙江/鹤岗/鹤岗,Hegang
YBKTK9ZXWXMJ,黑龙江省/鹤岗市/向阳区,黑龙江/鹤岗/向阳,Xiangyang
YBKTHM9MY5ZV,黑龙江省/鹤岗市/工农区,黑龙江/鹤岗/工农,Gongnong
YBKTHT42W0KK,黑龙江省/鹤岗市/南山区,黑龙江/鹤岗/南山,Nanshan
YBKSG3XTUZZY,黑龙江省/鹤岗市/兴安区,黑龙江/鹤岗/兴安,Xingan
YBKTM320X96D,黑龙江省/鹤岗市/东山区,黑龙江/鹤岗/东山,Dongshan
YBKTKUY2JGPC,黑龙江省/鹤岗市/兴山区,黑龙江/鹤岗/兴山,Xingshan
YBMN9JEMXFYE,黑龙江省/鹤岗市/萝北县,黑龙江/鹤岗/萝北,Luobei
YBMUBR41ZWVC,黑龙江省/鹤岗市/绥滨县,黑龙江/鹤岗/绥滨,Suibin
YBM322SX2QPB,黑龙江省/双鸭山市,黑龙江/双鸭山/双鸭山,Shuangyashan
YBM327K9XWEB,黑龙江省/双鸭山市/尖山区,黑龙江/双鸭山/尖山,Jianshan
YBM309937NQC,黑龙江省/双鸭山市/岭东区,黑龙江/双鸭山/岭东,Lingdong
YBM3H3UFWQUM,黑龙江省/双鸭山市/四方台区,黑龙江/双鸭山/四方台,Sifangtai
YBM2VYTWQGYK,黑龙江省/双鸭山市/宝山区,黑龙江/双鸭山/宝山,Baoshan
YBM1ZCJGWRNZ,黑龙江省/双鸭山市/集贤县,黑龙江/双鸭山/集贤,Jixian
YBMDPHJC6851,黑龙江省/双鸭山市/友谊县,黑龙江/双鸭山/友谊,Youyi
YBNP8231E3BD,黑龙江省/双鸭山市/宝清县,黑龙江/双鸭山/宝清,Baoqing
YBR61XWMU274,黑龙江省/双鸭山市/饶河县,黑龙江/双鸭山/饶河,Raohe
YB2BVPSH4JM5,黑龙江省/大庆市,黑龙江/大庆/大庆,Daqing
YB2CNFHX4NTR,黑龙江省/大庆市/萨尔图区,黑龙江/大庆/萨尔图,Saertu
YB2BZK58SVC8,黑龙江省/大庆市/龙凤区,黑龙江/大庆/龙凤,Longfeng
YB2C3K7R3S8U,黑龙江省/大庆市/让胡路区,黑龙江/大庆/让胡路,Ranghulu
YB0ZCY60RJRM,黑龙江省/大庆市/红岗区,黑龙江/大庆/红岗,Honggang
YB0VBHBYKM2C,黑龙江省/大庆市/大同区,黑龙江/大庆/大同,Datong
YB15FX6VF96N,黑龙江省/大庆市/肇州县,黑龙江/大庆/肇州,Zhaozhou
YB0FYQ8MPPPB,黑龙江省/大庆市/肇源县,黑龙江/大庆/肇源,Zhaoyuan
YB2U3KZE3VKW,黑龙江省/大庆市/林甸县,黑龙江/大庆/林甸,Lindian
YB26XUMTX1MB,黑龙江省/大庆市/杜尔伯特蒙古族自治县,黑龙江/大庆/杜尔伯特,Duerbote
YB7XT0YP7SYK,黑龙江省/伊春市,黑龙江/伊春,Yichun
YB7XT0YP7SYK,黑龙江省/伊春市/伊春区,黑龙江/伊春/伊春,Yichun
YB7UJSZC9867,黑龙江省/伊春市/南岔区,黑龙江/伊春/南岔,Nancha
YBE85XJG6JSD,黑龙江省/伊春市/友好区,黑龙江/伊春/友好,Youhao
YB7YN7JHFQPS,黑龙江省/伊春市/西林区,黑龙江/伊春/西林,Xilin
YB7RRZCRPCKP,黑龙江省/伊春市/翠峦区,黑龙江/伊春/翠峦,Cuiluan
YBS4EQTGB7WF,黑龙江省/伊春市/新青区,黑龙江/伊春/新青,Xinqing
YB7YFPPRTC7W,黑龙江省/伊春市/美溪区,黑龙江/伊春/美溪,Meixi
YBKJ9NCD4RU8,黑龙江省/伊春市/金山屯区,黑龙江/伊春/金山屯,Jinshantun
YBECTPUZR61H,黑龙江省/伊春市/五营区,黑龙江/伊春/五营,Wuying
YB7XD8PSR3Q1,黑龙江省/伊春市/乌马河区,黑龙江/伊春/乌马河,Wumahe
YBS5SK90GZCD,黑龙江省/伊春市/汤旺河区,黑龙江/伊春/汤旺河,Tangwanghe
YB7EXBBDYQEK,黑龙江省/伊春市/带岭区,黑龙江/伊春/带岭,Dailing
YBSH3P2G88DK,黑龙江省/伊春市/乌伊岭区,黑龙江/伊春/乌伊岭,Wuyiling
YBS42JM8VY66,黑龙江省/伊春市/红星区,黑龙江/伊春/红星,Hongxing
YBE8ZV54FR97,黑龙江省/伊春市/上甘岭区,黑龙江/伊春/上甘岭,Shangganling
YBSWNF7FDHQM,黑龙江省/伊春市/嘉荫县,黑龙江/伊春/嘉荫,Jiayin
YB7530MQ64YB,黑龙江省/伊春市/铁力市,黑龙江/伊春/铁力,Tieli
YBKDQEKD30TF,黑龙江省/佳木斯市,黑龙江/佳木斯/佳木斯,Jiamusi
YBKDQ2EMSQK6,黑龙江省/佳木斯市/向阳区,黑龙江/佳木斯/向阳,Xiangyang
YBKDQ9F6QKK4,黑龙江省/佳木斯市/前进区,黑龙江/佳木斯/前进,Qianjin
YBKDR5R7872K,黑龙江省/佳木斯市/东风区,黑龙江/佳木斯/东风,Dongfeng
YBKDM3PEMWE3,黑龙江省/佳木斯市/郊区,黑龙江/佳木斯/郊区,Jiaoqu
YBHYGPYJM88E,黑龙江省/佳木斯市/桦南县,黑龙江/佳木斯/桦南,Huanan
YBKGQXERKG29,黑龙江省/佳木斯市/桦川县,黑龙江/佳木斯/桦川,Huachuan
YBK3GFYMCRK7,黑龙江省/佳木斯市/汤原县,黑龙江/佳木斯/汤原,Tangyuan
YBQPPD6J7GCC,黑龙江省/佳木斯市/同江市,黑龙江/佳木斯/同江,Tongjiang
YBMUU3T71YRK,黑龙江省/佳木斯市/富锦市,黑龙江/佳木斯/富锦,Fujin
YBX7PT7XWV91,黑龙江省/佳木斯市/抚远市,黑龙江/佳木斯/抚远,Fuyuan
YBJH7VFZU4T1,黑龙江省/七台河市,黑龙江/七台河/七台河,Qitaihe
YBJHEK0MQBYU,黑龙江省/七台河市/新兴区,黑龙江/七台河/新兴,Xinxing
YBJHM6BQSK9F,黑龙江省/七台河市/桃山区,黑龙江/七台河/桃山,Taoshan
YBJHQQE0652T,黑龙江省/七台河市/茄子河区,黑龙江/七台河/茄子河,Qiezihe
YBHU70W1JD0S,黑龙江省/七台河市/勃利县,黑龙江/七台河/勃利,Boli
WZUJT5EC6FK4,黑龙江省/牡丹江市,黑龙江/牡丹江/牡丹江,Mudanjiang
WZUJTE6JFGW6,黑龙江省/牡丹江市/东安区,黑龙江/牡丹江/东安,Dongan
WZUJTY0EEW1Y,黑龙江省/牡丹江市/阳明区,黑龙江/牡丹江/阳明,Yangming
WZUJSY0ES6N0,黑龙江省/牡丹江市/爱民区,黑龙江/牡丹江/爱民,Aimin
WZUJT6F2NJN7,黑龙江省/牡丹江市/西安区,黑龙江/牡丹江/西安,Xian
YBH9SQEEXH03,黑龙江省/牡丹江市/林口县,黑龙江/牡丹江/林口,Linkou
WZVK8QKT22PV,黑龙江省/牡丹江市/绥芬河市,黑龙江/牡丹江/绥芬河,Suifenhe
WZUJ81EXHD0Q,黑龙江省/牡丹江市/海林市,黑龙江/牡丹江/海林,Hailin
WZUH61TJMXJN,黑龙江省/牡丹江市/宁安市,黑龙江/牡丹江/宁安,Ningan
WZUZD13VBQVV,黑龙江省/牡丹江市/穆棱市,黑龙江/牡丹江/穆棱,Muling
WZV4XWWWM7QM,黑龙江省/牡丹江市/东宁市,黑龙江/牡丹江/东宁,Dongning
YBFTUGSP7QCT,黑龙江省/黑河市,黑龙江/黑河/黑河,Heihe
YBFTV5V9G6CF,黑龙江省/黑河市/爱辉区,黑龙江/黑河/爱辉,Aihui
YB9P8ZPU52Q6,黑龙江省/黑河市/嫩江县,黑龙江/黑河/嫩江,Nenjiang
YBG653UBRVZH,黑龙江省/黑河市/逊克县,黑龙江/黑河/逊克,Xunke
YBF91HXS758Z,黑龙江省/黑河市/孙吴县,黑龙江/黑河/孙吴,Sunwu
YB9FRH101ETS,黑龙江省/黑河市/北安市,黑龙江/黑河/北安,Beian
YB9SPBB13PS3,黑龙江省/黑河市/五大连池市,黑龙江/黑河/五大连池,Wudalianchi
YB63388P2QN8,黑龙江省/绥化市,黑龙江/绥化/绥化,Suihua
YB6333XQVSWR,黑龙江省/绥化市/北林区,黑龙江/绥化/北林,Beilin
YB3FQJ5UT8EX,黑龙江省/绥化市/望奎县,黑龙江/绥化/望奎,Wangkui
YB1Z1X4Q330T,黑龙江省/绥化市/兰西县,黑龙江/绥化/兰西,Lanxi
YB39T3Z4WYXN,黑龙江省/绥化市/青冈县,黑龙江/绥化/青冈,Qinggang
YB6DTY1PZ37S,黑龙江省/绥化市/庆安县,黑龙江/绥化/庆安,Qingan
YB3S2UVE6TKN,黑龙江省/绥化市/明水县,黑龙江/绥化/明水,Mingshui
YB6KU1X7HWMH,黑龙江省/绥化市/绥棱县,黑龙江/绥化/绥棱,Suiling
YB1PGYYE8DVM,黑龙江省/绥化市/安达市,黑龙江/绥化/安达,Anda
YB1W4DZC4Y2W,黑龙江省/绥化市/肇东市,黑龙江/绥化/肇东,Zhaodong
YB6Q138SZ3Q5,黑龙江省/绥化市/海伦市,黑龙江/绥化/海伦,Hailun
YBBQB6TMV95Z,黑龙江省/大兴安岭地区,黑龙江/大兴安岭/大兴安岭,Daxinganling
Y9RJK4ZSEGWJ,黑龙江省/大兴安岭地区/漠河市,黑龙江/大兴安岭/漠河,Mohe
YBBNZ69JB91R,黑龙江省/大兴安岭地区/加格达奇区,黑龙江/大兴安岭/加格达奇,Jiagedaqi
YC4N3CPTNFUT,黑龙江省/大兴安岭地区/呼玛县,黑龙江/大兴安岭/呼玛,Huma
YC29TSEF0DGK,黑龙江省/大兴安岭地区/塔河县,黑龙江/大兴安岭/塔河,Tahe
WTW3SJ5ZBJUY,上海市,上海/上海,Shanghai
WTW3SMGJ8NHW,上海市/黄浦区,上海/黄浦,Huangpu
WTW37HNSSJ68,上海市/徐汇区,上海/徐汇区,Xujiahui
WTW3DGZ6DG22,上海市/长宁区,上海/长宁,Changning
WTW3GB8WWK6S,上海市/静安区,上海/静安,Jingan
WTW3F34NJJ19,上海市/普陀区,上海/普陀,Putuo
WTW3UGFJ7BJR,上海市/虹口区,上海/虹口,Hongkou
WTW3V712JSV7,上海市/杨浦区,上海/杨浦,Yangpu
WTW3414PNURY,上海市/闵行区,上海/闵行,Minhang
WTW6SK5N30JR,上海市/宝山区,上海/宝山,Baoshan
WTW4X8D1EZCZ,上海市/嘉定区,上海/嘉定,Jiading
WTW3T7RMWMB4,上海市/浦东新区,上海/浦东新区,Pudong
WTQQBVVG9ZMN,上海市/金山区,上海/金山,Jinshan
WTW0W2VDYEPR,上海市/松江区,上海/松江,Songjiang
WTW1HNSVUSCG,上海市/青浦区,上海/青浦,Qingpu
WTQRUHGF01UB,上海市/奉贤区,上海/奉贤,Fengxian
WTW7FS0ZC50Z,上海市/崇明区,上海/崇明,Chongming
WTSQQYHVQ973,江苏省/南京市,江苏/南京/南京,Nanjing
WTSQR4WJNP42,江苏省/南京市/玄武区,江苏/南京/玄武,Xuanwu
WTSQR0GVT2DZ,江苏省/南京市/秦淮区,江苏/南京/秦淮,Qinhuai
WTSQJDMYP91J,江苏省/南京市/建邺区,江苏/南京/建邺,Jianye
WTSQQTCEZ5DT,江苏省/南京市/鼓楼区,江苏/南京/鼓楼,Gulou
WTSQ7682Y34B,江苏省/南京市/浦口区,江苏/南京/浦口,Pukou
WTSQXKQHG41K,江苏省/南京市/栖霞区,江苏/南京/栖霞,Qixia
WTSQNB0QZZ03,江苏省/南京市/雨花台区,江苏/南京/雨花台,Yuhuatai
WTSTB2RFJXXJ,江苏省/南京市/江宁区,江苏/南京/江宁,Jiangning
WTU8011K7TN4,江苏省/南京市/六合区,江苏/南京/六合,Luhe
WTSSH3EWX58K,江苏省/南京市/溧水区,江苏/南京/溧水,Lishui
WTSD1PMY2Z2C,江苏省/南京市/高淳区,江苏/南京/高淳,Gaochun
WTTE97PU94T9,江苏省/无锡市,江苏/无锡/无锡,Wuxi
WTTEF8S5Q6BN,江苏省/无锡市/锡山区,江苏/无锡/锡山,Xishan
WTTS1REQ6G7M,江苏省/无锡市/惠山区,江苏/无锡/惠山,Huishan
WTTE2GZFGHHT,江苏省/无锡市/滨湖区,江苏/无锡/滨湖,Binhu
WTTE96Y2VC2D,江苏省/无锡市/梁溪区,江苏/无锡/梁溪,Liangxi
WTTE4V50PN9N,江苏省/无锡市/新吴区,江苏/无锡/新吴,Xinwu
WTTT2Z1YYP5B,江苏省/无锡市/江阴市,江苏/无锡/江阴,Jiangyin
WTT4QE46BRED,江苏省/无锡市/宜兴市,江苏/无锡/宜兴,Yixing
WW56FQXV5ZHB,江苏省/徐州市,江苏/徐州/徐州,Xuzhou
WW5746R8PEEU,江苏省/徐州市/鼓楼区,江苏/徐州/鼓楼,Gulou
WW56GGZFDN77,江苏省/徐州市/云龙区,江苏/徐州/云龙,Yunlong
WW5EBUURF35H,江苏省/徐州市/贾汪区,江苏/徐州/贾汪,Jiawang
WW56FDJWX2QH,江苏省/徐州市/泉山区,江苏/徐州/泉山,Quanshan
WW566Q28FVU3,江苏省/徐州市/铜山区,江苏/徐州/铜山,Tongshan
WW4VMKCW0UVD,江苏省/徐州市/丰县,江苏/徐州/丰县,Fengxian
WW5JSF3UFMPR,江苏省/徐州市/沛县,江苏/徐州/沛县,Peixian
WW5BU529F4N8,江苏省/徐州市/睢宁县,江苏/徐州/睢宁,Suining
WWH5T4EY4BS0,江苏省/徐州市/新沂市,江苏/徐州/新沂,Xinyi
WW5GHPB86PWW,江苏省/徐州市/邳州市,江苏/徐州/邳州,Pizhou
WTTKC92GVT6S,江苏省/常州市,江苏/常州/常州,Changzhou
WTTKCCXTT1RS,江苏省/常州市/天宁区,江苏/常州/天宁,Tianning
WTTKBMF9SWCP,江苏省/常州市/钟楼区,江苏/常州/钟楼,Zhonglou
WTTM1FVWGGDE,江苏省/常州市/新北区,江苏/常州/新北,Xinbei
WTTK3N6Q7S9D,江苏省/常州市/武进区,江苏/常州/武进,Wujin
WTTH8GUJNUYP,江苏省/常州市/金坛区,江苏/常州/金坛,Jintan
WTSFWZFDVB90,江苏省/常州市/溧阳市,江苏/常州/溧阳,Liyang
WTTDPCGXTWUS,江苏省/苏州市,江苏/苏州/苏州,Suzhou
WTTDP3RN2FHT,江苏省/苏州市/虎丘区,江苏/苏州/虎丘,Huqiu
WTTCCH80FWRR,江苏省/苏州市/吴中区,江苏/苏州/吴中,Wuzhong
WTTF3NYNX9V0,江苏省/苏州市/相城区,江苏/苏州/相城,Xiangcheng
WTTF295B36E7,江苏省/苏州市/姑苏区,江苏/苏州/姑苏,Gusu
WTTC34246TPK,江苏省/苏州市/吴江区,江苏/苏州/吴江,Wujiang
WTTU59XQWGTU,江苏省/苏州市/常熟市,江苏/苏州/常熟,Changshu
WTTTR1VB4WE5,江苏省/苏州市/张家港市,江苏/苏州/张家港,Zhangjiagang
WTW48BWCWRFR,江苏省/苏州市/昆山市,江苏/苏州/昆山,Kunshan
WTW4GTQ3D8BV,江苏省/苏州市/太仓市,江苏/苏州/太仓,Taicang
WTTVYTY1H0HF,江苏省/南通市,江苏/南通/南通,Nantong
WTTYN5DEE05E,江苏省/南通市/崇川区,江苏/南通/崇川,Chongchuan
WTTYJPWNWDG6,江苏省/南通市/港闸区,江苏/南通/港闸,Gangzha
WTWN7PBRX3RJ,江苏省/南通市/通州区,江苏/南通/通州,Tongzhou
WTWPVE8TDSTJ,江苏省/南通市/如东县,江苏/南通/如东,Rudong
WTWT00WUFMYT,江苏省/南通市/启东市,江苏/南通/启东,Qidong
WTV8RDHRSTU0,江苏省/南通市/如皋市,江苏/南通/如皋,Rugao
WTWJMR1QCXH8,江苏省/南通市/海门市,江苏/南通/海门,Haimen
WTV9HVT12RV9,江苏省/南通市/海安市,江苏/南通/海安,Haian
WWHUBFTRE77P,江苏省/连云港市,江苏/连云港/连云港,Lianyungang
WWHVG800SD6K,江苏省/连云港市/连云区,江苏/连云港/连云,Lianyun
WWHUBHNHSXN8,江苏省/连云港市/海州区,江苏/连云港/海州,Haizhou
WWHWNSSE3NTF,江苏省/连云港市/赣榆区,江苏/连云港/赣榆,Ganyu
WWHKQTVXVDDC,江苏省/连云港市/东海县,江苏/连云港/东海,Donghai
WWHG1S55YRKV,江苏省/连云港市/灌云县,江苏/连云港/灌云,Guanyun
WWHCGUH42S6N,江苏省/连云港市/灌南县,江苏/连云港/灌南,Guannan
WTUXK27DXN0R,江苏省/淮安市,江苏/淮安/淮安,Huaian
WTUYDYQNZ73S,江苏省/淮安市/淮安区,江苏/淮安/淮安区,Huaianqu
WTUXKD5HBN2U,江苏省/淮安市/淮阴区,江苏/淮安/淮阴区,Huaiyinqu
WTUWUKKSCM9V,江苏省/淮安市/清江浦区,江苏/淮安/清江浦,Qingjiangpu
WTUT2N16E9YJ,江苏省/淮安市/洪泽区,江苏/淮安/洪泽,Hongze
WWHB4J3YB2MU,江苏省/淮安市/涟水县,江苏/淮安/涟水,Lianshui
WTU78P6WBJG5,江苏省/淮安市/盱眙县,江苏/淮安/盱眙,Xuyi
WTUEU75ERN0K,江苏省/淮安市/金湖县,江苏/淮安/金湖,Jinhu
WTVMWP4TCFT7,江苏省/盐城市,江苏/盐城/盐城,Yancheng
WTVMZNCD8D11,江苏省/盐城市/亭湖区,江苏/盐城/亭湖,Tinghu
WTVMW5D93FM6,江苏省/盐城市/盐都区,江苏/盐城/盐都,Yandu
WTVSV7GS42WD,江苏省/盐城市/大丰区,江苏/盐城/大丰,Dafeng
WWJ48CUJQYN4,江苏省/盐城市/响水县,江苏/盐城/响水,Xiangshui
WWJ1QCCEC7H5,江苏省/盐城市/滨海县,江苏/盐城/滨海,Binhai
WWJ0NJ7WY26S,江苏省/盐城市/阜宁县,江苏/盐城/阜宁,Funing
WWJ80M7QU06U,江苏省/盐城市/射阳县,江苏/盐城/射阳,Sheyang
WTVNQJ58YK4W,江苏省/盐城市/建湖县,江苏/盐城/建湖,Jianhu
WTVDCKPV15VD,江苏省/盐城市/东台市,江苏/盐城/东台,Dongtai
WTUBM40RTTUB,江苏省/扬州市,江苏/扬州/扬州,Yangzhou
WTUBM9EEUXN3,江苏省/扬州市/广陵区,江苏/扬州/广陵,Guangling
WTUBJN87JTKZ,江苏省/扬州市/邗江区,江苏/扬州/邗江,Hanjiang
WTV02RTWKYJJ,江苏省/扬州市/江都区,江苏/扬州/江都,Jiangdu
WTUV49RDG2ZX,江苏省/扬州市/宝应县,江苏/扬州/宝应,Baoying
WTSZ8484RK10,江苏省/扬州市/仪征市,江苏/扬州/仪征,Yizheng
WTUFMXQM2DYS,江苏省/扬州市/高邮市,江苏/扬州/高邮,Gaoyou
WTSZNJUFDEP9,江苏省/镇江市,江苏/镇江/镇江,Zhenjiang
WTSZNMZSH2F7,江苏省/镇江市/京口区,江苏/镇江/京口,Jingkou
WTSZJJM4K9X5,江苏省/镇江市/润州区,江苏/镇江/润州,Runzhou
WTSYY1HFFDPE,江苏省/镇江市/丹徒区,江苏/镇江/丹徒,Dantu
WTTN0CKJWBQ5,江苏省/镇江市/丹阳市,江苏/镇江/丹阳,Danyang
WTTPQE63277W,江苏省/镇江市/扬中市,江苏/镇江/扬中,Yangzhong
WTSTZB2FNR8M,江苏省/镇江市/句容市,江苏/镇江/句容,Jurong
WTV28G74FW3J,江苏省/泰州市,江苏/泰州/泰州,Taizhou
WTV2BEPNYDNT,江苏省/泰州市/海陵区,江苏/泰州/海陵,Hailing
WTTPZGGEZ968,江苏省/泰州市/高港区,江苏/泰州/高港,Gaogang
WTV3N04D9ZMK,江苏省/泰州市/姜堰区,江苏/泰州/姜堰,Jiangyan
WTV5R2BHGKV1,江苏省/泰州市/兴化市,江苏/泰州/兴化,Xinghua
WTTW0V1FN0EU,江苏省/泰州市/靖江市,江苏/泰州/靖江,Jingjiang
WTTR507GUDWK,江苏省/泰州市/泰兴市,江苏/泰州/泰兴,Taixing
WWH1780CEFBR,江苏省/宿迁市,江苏/宿迁/宿迁,Suqian
WWH14X18FKV8,江苏省/宿迁市/宿城区,江苏/宿迁/宿城,Sucheng
WWH1HKMVPFDW,江苏省/宿迁市/宿豫区,江苏/宿迁/宿豫,Suyu
WWH6NTJTTT4U,江苏省/宿迁市/沭阳县,江苏/宿迁/沭阳,Shuyang
WTURUDS1HRTG,江苏省/宿迁市/泗阳县,江苏/宿迁/泗阳,Siyang
WTUN6JJ0VSJN,江苏省/宿迁市/泗洪县,江苏/宿迁/泗洪,Sihong
WTMKQ069CCJ7,浙江省/杭州市,浙江/杭州/杭州,Hangzhou
WTMKN3V5ZZP4,浙江省/杭州市/上城区,浙江/杭州/上城,Shangcheng
WTMKQ9J9W5W9,浙江省/杭州市/下城区,浙江/杭州/下城,Xiacheng
WTMKPHX3CWBD,浙江省/杭州市/江干区,浙江/杭州/江干,Jianggan
WTMKMZBFE71F,浙江省/杭州市/拱墅区,浙江/杭州/拱墅,Gongshu
WTMKJSBWTWPD,浙江省/杭州市/西湖区,浙江/杭州/西湖,Xihu
WTM7Z7SRBC17,浙江省/杭州市/滨江区,浙江/杭州/滨江,Binjiang
WTME8U3BYPEU,浙江省/杭州市/萧山区,浙江/杭州/萧山,Xiaoshan
WTMT13ZC35J8,浙江省/杭州市/余杭区,浙江/杭州/余杭,Yuhang
WTM6CW2VVW48,浙江省/杭州市/富阳区,浙江/杭州/富阳,Fuyang
WTM5UR1QW0QN,浙江省/杭州市/临安区,浙江/杭州/临安,Linan
